postcode,Suburb,lat,lon,Region,Average_per_person,website
3134,RINGWOOD,-37.81402,145.227362,Outer Eastern Melbourne,177,"https://www.google.com/maps/place/Ringwood+VIC+3134/@-37.8099849,145.2038489,13z/data=!3m1!4b1!4m5!3m4!1s0x6ad63c09922b6adb:0x5045675218cd790!8m2!3d-37.8114!4d145.2306"
3136,CROYDON,-37.798729,145.280685,Outer Eastern Melbourne,175,"https://www.google.com/maps/place/Croydon+VIC+3136/@-37.7913278,145.2464787,13z/data=!3m1!4b1!4m5!3m4!1s0x6ad62e1e86d7699b:0x5045675218cd6d0!8m2!3d-37.796!4d145.281"
3140,LILYDALE,-37.755519,145.347707,Outer Eastern Melbourne,175,"https://www.google.com/maps/place/Lilydale+VIC+3140/@-37.7913278,145.2464787,13z/data=!4m5!3m4!1s0x6ad62ef5b997879b:0x5045675218cd420!8m2!3d-37.758!4d145.35"
3141,SOUTH YARRA,-37.837883,144.991123,Inner Melbourne,277,"https://www.google.com/maps/place/South+Yarra+VIC+3141/@-37.7617748,145.3366002,13z/data=!4m5!3m4!1s0x6ad6682f2586859b:0x5045675218ce880!8m2!3d-37.84!4d144.989"
3142,TOORAK,-37.84216,145.017966,Inner Melbourne,248,"https://www.google.com/maps/place/Toorak+VIC+3142/@-37.8378816,144.9736116,14z/data=!4m5!3m4!1s0x6ad64270233922c7:0x5045675218cd9b0!8m2!3d-37.841!4d145.018"
3143,ARMADALE,-37.85934,145.018505,Inner Melbourne,250,"https://www.google.com/maps/place/Armadale+VIC+3143/@-37.8576843,145.0106796,15z/data=!3m1!4b1!4m5!3m4!1s0x6ad669ccb9783e99:0x5045675218cdac0!8m2!3d-37.857!4d145.021"
3144,MALVERN,-37.861427,145.028508,Southern Melbourne,228,"https://www.google.com/maps/place/Malvern+VIC+3144/@-37.8584378,145.0181495,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad642042822ce15:0x5045675218cda30!8m2!3d-37.857!4d145.036"
3145,MALVERN EAST,-37.87837,145.067892,Southern Melbourne,216,"https://www.google.com/maps/place/Malvern+East+VIC+3145/@-37.8782231,145.0471235,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad66a116cf2cd79:0x5045675218cdba0!8m2!3d-37.878!4d145.06"
3146,GLEN IRIS,-37.854687,145.067215,Inner Eastern Melbourne,223,"https://www.google.com/maps/place/Glen+Iris+VIC+3146/@-37.8564679,145.0501193,14z/data=!3m1!4b1!4m5!3m4!1s0x6ad641e5f97c93a7:0x5045675218cda90!8m2!3d-37.856!4d145.059"
3147,ASHBURTON,-37.863393,145.07942,Inner Eastern Melbourne,222,"https://www.google.com/maps/place/Ashburton+VIC+3147/@-37.8862515,145.0807788,17z/data=!4m5!3m4!1s0x6ad641ce85fa48c1:0x5045675218cdb00!8m2!3d-37.866944!4d145.083056"
