id,university,campus,suburb,distance
525,RMIT University,CBD,DANDENONG NORTH,27.589
526,RMIT University,CBD,ROWVILLE,27.416
527,RMIT University,CBD,SCORESBY,27.204
528,RMIT University,CBD,PRAHRAN,5.336
529,RMIT University,CBD,WINDSOR,5.923
530,RMIT University,CBD,ST KILDA,6.759
531,RMIT University,CBD,ELWOOD,9.11
532,RMIT University,CBD,ELSTERNWICK,9.255
533,RMIT University,CBD,BRIGHTON,11.957
534,RMIT University,CBD,BRIGHTON EAST,11.313
535,RMIT University,CBD,HAMPTON,10.314
536,RMIT University,CBD,CHELTENHAM,19.217
537,RMIT University,CBD,BEAUMARIS,20.755
538,RMIT University,CBD,MENTONE,21.403
539,RMIT University,CBD,ASPENDALE,27.187
540,RMIT University,CBD,MORDIALLOC,24.672
541,RMIT University,CBD,PARKDALE,22.785
542,RMIT University,CBD,CHELSEA,30.313
543,RMIT University,CBD,CARRUM,32.997
544,RMIT University,CBD,SEAFORD,37.125
545,RMIT University,CBD,FRANKSTON,40.019
